fortvalleystate-sheet2-row16-col05,:fortvalleystate: Fort Valley State,,,
kentuckystate-sheet2-row16-col06,:kentuckystate: Kentucky State,,,
lane-sheet2-row16-col07,:lane: Lane,,,
milescollege-sheet2-row16-col08,:miles: Miles,,,
morehouse-sheet2-row16-col09,:morehouse: Morehouse,,,
savannahstate-sheet2-row16-col10,:savannahstate: Savannah State,,,
tuskegee-sheet2-row16-col11,:tuskegee: Tuskegee,,,
carsonnewman-sheet2-row17-col01,:carsonnewman: Carson-Newman,,,
catawba-sheet2-row17-col02,:catawba: Catawba,,,
lenoirrhyne-sheet2-row17-col03,:lenoirrhyne: Lenoir-Rhyne,,,
limestone-sheet2-row17-col04,:limestone: Limestone,,,
marshill-sheet2-row17-col05,:marshill: Mars Hill,,,
newberry-sheet2-row17-col06,:newberry: Newberry,,,
tusculum-sheet2-row17-col07,:tusculum: Tusculum,,,
uncpembroke-sheet2-row17-col08,:uncpembroke: UNC Pembroke,,,
wingate-sheet2-row17-col09,:wingate: Wingate,,,
barton-sheet2-row18-col01,:barton: Barton,,,
erskine-sheet2-row18-col02,:erskine: Erskine,,,
